"id","state_name","route_name","route_link","bus_name","bus_type","departing","duration","reaching","rating","price","availability"
"1","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","Silver Line Travels","NON A/C Semi Sleeper (2+2)","22:00","08h 10m","06:10","4.5","599.00","30"
"2","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","MMK Travels","VE A/C Seater / Sleeper (2+1)","22:30","09h 00m","07:30","4.4","700.00","12"
"3","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","Kyros Connect","Bharat Benz A/C Semi Sleeper (2+2)","23:00","10h 00m","09:00","4.2","599.00","12"
"4","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","AdSuraj Holidays","VE A/C Sleeper (2+1)","22:30","09h 00m","07:30","3.9","1050.00","7"
"5","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","NS Transports","Non A/C Seater / Sleeper (2+1)","21:45","08h 25m","06:10","4.2","699.00","5"
"6","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","SAAM BUS","VE A/C Sleeper (2+1)","20:10","10h 35m","06:45","4.3","850.00","1"
"7","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","NS Transports","VE A/C Sleeper (2+1)","22:45","08h 45m","07:30","4.1","1100.00","4"
"8","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","AdSuraj Holidays","NON AC Seater / Sleeper 2+1","20:30","09h 30m","06:00","3.3","700.00","12"
"9","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","P K Travels","A/C Sleeper (2+1)","18:45","11h 45m","06:30","4.3","1000.00","10"
"10","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","DLT BUS","A/C Sleeper (2+1)","22:30","09h 00m","07:30","3.9","899.00","5"
"11","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","NS Transports","Non A/C Seater / Sleeper (2+1)","22:15","08h 15m","06:30","4.0","800.00","3"
"12","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","SKS Tourist Corporation (REGD)","A/C Sleeper (2+1)","21:00","08h 30m","05:30","3.9","899.00","3"
"13","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","National travels and logistics","NON A/C Sleeper (2+1)","22:45","07h 45m","06:30","3.6","799.00","2"
"14","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","SURAJ TRAVEL HOUSE","VE A/C Seater / Sleeper (2+1)","21:00","10h 30m","07:30","3.8","699.00","29"
"15","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","SKS Tours & Travels","A/C Sleeper (2+1)","21:15","08h 30m","05:45","4.3","899.00","4"
"16","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","Sam Tourist","NON AC Seater / Sleeper 2+1","22:05","09h 00m","07:05","3.6","599.00","11"
"17","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","Kalpaka Travels","NON A/C Semi Sleeper (2+2)","22:00","08h 30m","06:30","3.2","700.00","22"
"18","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","A1 Travels","Non A/C Seater / Sleeper (2+1)","21:00","09h 45m","06:45","2.9","600.00","16"
"19","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","A1 Travels","A/C Seater / Sleeper (2+1)","21:45","09h 15m","07:00","3.1","600.00","9"
"20","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","NS Transports","NON A/C Sleeper (2+1)","23:00","08h 30m","07:30","4.1","799.00","8"
"21","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","P K Travels","A/C Seater/Sleeper (2+1)","21:30","08h 30m","06:00","3.9","750.00","24"
"22","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","P K Travels","Non A/C Seater / Sleeper (2+1)","19:15","10h 00m","05:15","3.8","649.00","8"
"23","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","National travels and logistics","A/C Sleeper (2+1)","22:45","08h 15m","07:00","3.5","745.00","13"
"24","kerala","Bangalore to Kozhikode","https://www.redbus.in/bus-tickets/bangalore-to-kozhikode","Vijay Lines","A/C Seater / Sleeper (2+1)","20:45","10h 45m","07:30","1.7","5000.00","40"
"25","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","A1 Travels","NON A/C Semi Sleeper (2+2)","21:00","04h 30m","01:30","4.2","600.00","2"
"26","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","Sonia Travels","A/C Semi Sleeper (2+2)","23:45","03h 45m","03:30","4.2","600.00","1"
"27","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","Surya Connect","Volvo A/C Semi Sleeper (2+2)","23:55","05h 20m","05:15","4.8","680.00","3"
"28","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","EMERALD TRAVELS","Bharat Benz A/C Seater (2+2)","23:59","06h 06m","06:05","3.1","800.00","15"
"29","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","Galaxy Tours","2+1 Air Suspension A/C Seater / Sleeper","21:45","04h 15m","02:00","2.9","800.00","2"
"30","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","Shajees Motors","A/C Semi Sleeper (2+2)","22:30","04h 35m","03:05","2.6","650.00","9"
"31","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","Kalpaka Travels 1","A/C Semi Sleeper (2+2)","23:59","05h 01m","05:00","2.4","600.00","2"
"32","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","Blue Bird Travels","A/C Seater Push Back (2+2)","00:45","04h 31m","05:16","2.3","650.00","3"
"33","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","EMERALD TRAVELS","A/C Sleeper (2+1)","21:55","04h 45m","02:40","3.1","1300.00","2"
"34","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","EMERALD TRAVELS","A/C Semi Sleeper (2+2)","23:00","03h 30m","02:30","3.1","1100.00","11"
"35","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","KP Travels","Volvo AC Seater Pushback 2+2","23:00","04h 50m","03:50","3.1","1799.00","1"
"36","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","Madhavi Travels","Volvo A/C Semi Sleeper (2+2)","23:30","03h 40m","03:10","3.9","999.00","1"
"37","kerala","Kozhikode to Ernakulam","https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam","Cochin Express","A/C Sleeper (2+1)","23:59","05h 46m","05:45","4.1","1000.00","1"
"38","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","MMK Travels","VE A/C Seater / Sleeper (2+1)","21:30","08h 30m","06:00","4.4","999.00","2"
"39","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","DLT BUS","A/C Sleeper (2+1)","21:45","08h 45m","06:30","4.3","1199.00","8"
"40","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","Silver Line Travels","NON A/C Semi Sleeper (2+2)","20:30","09h 15m","05:45","4.2","899.00","2"
"41","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","AdSuraj Holidays","NON AC Seater / Sleeper 2+1","20:15","09h 40m","05:55","3.6","1000.00","6"
"42","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","NS Transports","Non A/C Seater / Sleeper (2+1)","20:30","10h 05m","06:35","4.2","799.00","4"
"43","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","Suraj Holidays","VE A/C Sleeper (2+1)","22:00","09h 15m","07:15","4.2","1300.00","11"
"44","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","P K Travels","A/C Sleeper (2+1)","20:00","10h 00m","06:00","4.2","1100.00","6"
"45","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","SAAM BUS","VE A/C Sleeper (2+1)","20:30","09h 45m","06:15","4.3","1000.00","1"
"46","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","NS Transports","VE A/C Sleeper (2+1)","21:16","09h 14m","06:30","4.2","1199.00","3"
"47","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","National travels and logistics","NON A/C Sleeper (2+1)","20:45","09h 30m","06:15","4.0","899.00","7"
"48","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","SURAJ TRAVEL HOUSE","VE A/C Seater / Sleeper (2+1)","20:45","09h 15m","06:00","3.8","899.00","6"
"49","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","Kallada Travels (Suresh Kallada)","A/C Sleeper (2+1)","21:10","10h 05m","07:15","3.5","1249.00","6"
"50","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","SKS Tourist Corporation (REGD)","A/C Sleeper (2+1)","21:30","09h 00m","06:30","3.6","1599.00","3"
"51","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","SKS Tours & Travels","A/C Sleeper (2+1)","21:00","09h 00m","06:00","4.1","1299.00","17"
"52","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","Sam Tourist","NON AC Seater / Sleeper 2+1","21:00","09h 30m","06:30","3.4","999.00","2"
"53","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","SURAJ TRAVEL HOUSE","A/C Seater (2+2)","21:00","09h 00m","06:00","1.2","2000.00","49"
"54","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","P K Travels","A/C Seater/Sleeper (2+1)","21:45","08h 15m","06:00","4.0","1000.00","29"
"55","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","P K Travels","Non A/C Seater / Sleeper (2+1)","21:00","09h 00m","06:00","4.3","900.00","5"
"56","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","National travels and logistics","A/C Sleeper (2+1)","21:00","09h 15m","06:15","3.9","950.00","10"
"57","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","DA Transports","A/C Sleeper (2+1)","22:00","09h 45m","07:45","4.3","1109.00","1"
"58","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","NS Transports","NON A/C Sleeper (2+1)","21:20","09h 15m","06:35","3.0","949.00","15"
"59","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","Usha Transport","NON A/C Sleeper (2+1)","22:40","08h 20m","07:00","1.0","875.00","9"
"60","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","SAAM BUS","Volvo A/C Semi Sleeper (2+2)","20:30","09h 45m","06:15","4.3","750.00","1"
"61","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","DA Transports","A/C Sleeper (2+1)","21:50","08h 55m","06:45","3.8","1063.00","2"
"62","kerala","Kozhikode to Bangalore","https://www.redbus.in/bus-tickets/kozhikode-to-bangalore","A1 Travels","A/C Semi Sleeper (2+2)","22:30","08h 00m","06:30","3.2","850.00","11"
"63","kerala","Ernakulam to Kozhikode","https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode","KSRTC (Kerala) - 697","Super Fast Non AC Seater (2+3)","22:34","05h 01m","03:35","3.6","231.00","12"
"64","kerala","Ernakulam to Kozhikode","https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode","Shajees Motors","A/C Semi Sleeper (2+2)","19:30","05h 10m","00:40","3.8","600.00","7"
"65","kerala","Ernakulam to Kozhikode","https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode","Ubc travels","A/C Semi Sleeper (2+2)","20:40","04h 20m","01:00","3.6","700.00","1"
"66","kerala","Ernakulam to Kozhikode","https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode","Ubc travels","A/C Seater/Sleeper (2+1)","20:45","06h 15m","03:00","4.0","900.00","6"
"67","kerala","Ernakulam to Kozhikode","https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode","Holy Maria Travels","A/C Semi Sleeper (2+2)","20:50","05h 20m","02:10","3.6","600.00","23"
"68","kerala","Ernakulam to Kozhikode","https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode","Adrin Travels","A/C Seater/Sleeper (2+1)","21:00","05h 00m","02:00","5.0","850.00","7"
